u,v,key,osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,ref,bridge,access,name,width,junction,tunnel,fid
25632375,7056419949,0,434872539,False,3,secondary,,False,106.28299999999999,"LINESTRING (-8.6100477 41.1551976, -8.6100495 41.1551215, -8.6100564 41.1542737, -8.6100567 41.1542418)",,,,Rua de Camões,,,,68
25632375,5284368076,0,434872541,True,,residential,,False,155.872,"LINESTRING (-8.6100477 41.1551976, -8.6117228 41.1552195, -8.6118355 41.1552212, -8.6118724 41.1552217, -8.6119092 41.1552219)",,,,Rua de João das Regras,4,,,69
25632375,1209790928,0,1064101791,False,3,secondary,,True,51.326,"LINESTRING (-8.6100477 41.1551976, -8.6100485 41.1552694, -8.610038 41.1556591)",,,,Rua de Camões,,,,70
25632376,2893310955,0,"[14326572, 1082492468]",True,3,secondary,,False,160.78,"LINESTRING (-8.6101425 41.1518487, -8.6102145 41.1517548, -8.6105064 41.1513742, -8.6107099 41.1511088, -8.6108238 41.1509605, -8.6108654 41.1509028, -8.6108859 41.1508229, -8.6108828 41.150737, -8.6108577 41.1505507)",,,,Rua Heróis e Mártires de Angola,,,,71
25632398,2204099938,0,434878401,False,2,secondary,50,True,102.95700000000001,"LINESTRING (-8.6067219 41.1509597, -8.6067727 41.1508603, -8.6068677 41.1506833, -8.6071279 41.1501986, -8.6071805 41.1501006)",,,yes,Rua de Sá da Bandeira,,,,72
25632398,2204100015,0,738994729,True,2,secondary,50,False,138.499,"LINESTRING (-8.6067219 41.1509597, -8.6066521 41.1510744, -8.6061881 41.1518636, -8.6060991 41.1520153, -8.6060507 41.1520981)",,,yes,Rua de Sá da Bandeira,,,,73
25632399,6405838291,0,207724055,False,2,residential,,False,80.424,"LINESTRING (-8.6073894 41.1511073, -8.6076714 41.1504159)",,,,Rua do Bolhão,4,,,74
25632399,25632398,0,"[1187716777, 38336643]",True,"['2', '3']",residential,,False,58.464,"LINESTRING (-8.6073894 41.1511073, -8.6072799 41.1510749, -8.6069486 41.1509947, -8.6068592 41.150972, -8.6067219 41.1509597)",,,,Rua da Firmeza,,,,75
25632400,25632401,0,206720845,True,1,secondary,,False,101.35600000000001,"LINESTRING (-8.6077498 41.1502271, -8.6088617 41.1504737, -8.6089109 41.1504849)",,,,Rua de Fernandes Tomás,,,,76
25632401,25632402,0,8367104,True,1,residential,,False,56.049,"LINESTRING (-8.6089109 41.1504849, -8.6089714 41.150449, -8.6093946 41.1501979, -8.6094208 41.1501627)",,,,Rua do Bonjardim,4,,,77
